cellid,RBG,SLX,plate_sorted,plate_rearranged,well_sorted,well_rearranged,set_index,CI_index,index,mouse_platelabel,sort_method,sample.name,population,expdate,timepoint_tx_days,biosample_id,mouse_id,sex,start_age,tom,batch,countfolder,sample_id
SLX19435.i701_i502,RBG35462,SLX19435,plate1,plate1,A1,A1,setA,i701_i502,N701-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i503,RBG35463,SLX19435,plate1,plate1,B1,B1,setA,i701_i503,N701-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i505,RBG35464,SLX19435,plate1,plate1,C1,C1,setA,i701_i505,N701-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i506,RBG35465,SLX19435,plate1,plate1,D1,D1,setA,i701_i506,N701-S506,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i507,RBG35466,SLX19435,plate1,plate1,E1,E1,setA,i701_i507,N701-S507,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i508,RBG35467,SLX19435,plate1,plate1,F1,F1,setA,i701_i508,N701-S508,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i510,RBG35468,SLX19435,plate1,plate1,G1,G1,setA,i701_i510,N701-S510,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i511,RBG35469,SLX19435,plate1,plate1,H1,H1,setA,i701_i511,N701-S511,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i502,RBG35470,SLX19435,plate1,plate1,A2,A2,setA,i702_i502,N702-S502,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i503,RBG35471,SLX19435,plate1,plate1,B2,B2,setA,i702_i503,N702-S503,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i505,RBG35472,SLX19435,plate1,plate1,C2,C2,setA,i702_i505,N702-S505,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i506,RBG35473,SLX19435,plate1,plate1,D2,D2,setA,i702_i506,N702-S506,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i507,RBG35474,SLX19435,plate1,plate1,E2,E2,setA,i702_i507,N702-S507,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i508,RBG35475,SLX19435,plate1,plate1,F2,F2,setA,i702_i508,N702-S508,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i510,RBG35476,SLX19435,plate1,plate1,G2,G2,setA,i702_i510,N702-S510,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i511,RBG35477,SLX19435,plate1,plate1,H2,H2,setA,i702_i511,N702-S511,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i502,RBG35478,SLX19435,plate1,plate1,A3,A3,setA,i703_i502,N703-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i503,RBG35479,SLX19435,plate1,plate1,B3,B3,setA,i703_i503,N703-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i505,RBG35480,SLX19435,plate1,plate1,C3,C3,setA,i703_i505,N703-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i506,RBG35481,SLX19435,plate1,plate1,D3,D3,setA,i703_i506,N703-S506,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i507,RBG35482,SLX19435,plate1,plate1,E3,E3,setA,i703_i507,N703-S507,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i508,RBG35483,SLX19435,plate1,plate1,F3,F3,setA,i703_i508,N703-S508,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i510,RBG35484,SLX19435,plate1,plate1,G3,G3,setA,i703_i510,N703-S510,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i511,RBG35485,SLX19435,plate1,plate1,H3,H3,setA,i703_i511,N703-S511,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i502,RBG35486,SLX19435,plate1,plate1,A4,A4,setA,i704_i502,N704-S502,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i503,RBG35487,SLX19435,plate1,plate1,B4,B4,setA,i704_i503,N704-S503,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i505,RBG35488,SLX19435,plate1,plate1,C4,C4,setA,i704_i505,N704-S505,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i506,RBG35489,SLX19435,plate1,plate1,D4,D4,setA,i704_i506,N704-S506,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i507,RBG35490,SLX19435,plate1,plate1,E4,E4,setA,i704_i507,N704-S507,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i508,RBG35491,SLX19435,plate1,plate1,F4,F4,setA,i704_i508,N704-S508,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i510,RBG35492,SLX19435,plate1,plate1,G4,G4,setA,i704_i510,N704-S510,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i704_i511,RBG35493,SLX19435,plate1,plate1,H4,H4,setA,i704_i511,N704-S511,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i502,RBG35494,SLX19435,plate1,plate1,A5,A5,setA,i705_i502,N705-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i503,RBG35495,SLX19435,plate1,plate1,B5,B5,setA,i705_i503,N705-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i505,RBG35496,SLX19435,plate1,plate1,C5,C5,setA,i705_i505,N705-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i506,RBG35497,SLX19435,plate1,plate1,D5,D5,setA,i705_i506,N705-S506,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i507,RBG35498,SLX19435,plate1,plate1,E5,E5,setA,i705_i507,N705-S507,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i508,RBG35499,SLX19435,plate1,plate1,F5,F5,setA,i705_i508,N705-S508,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i510,RBG35500,SLX19435,plate1,plate1,G5,G5,setA,i705_i510,N705-S510,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i705_i511,RBG35501,SLX19435,plate1,plate1,H5,H5,setA,i705_i511,N705-S511,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i502,RBG35502,SLX19435,plate1,plate1,A6,A6,setA,i706_i502,N706-S502,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i503,RBG35503,SLX19435,plate1,plate1,B6,B6,setA,i706_i503,N706-S503,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i505,RBG35504,SLX19435,plate1,plate1,C6,C6,setA,i706_i505,N706-S505,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i506,RBG35505,SLX19435,plate1,plate1,D6,D6,setA,i706_i506,N706-S506,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i507,RBG35506,SLX19435,plate1,plate1,E6,E6,setA,i706_i507,N706-S507,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i508,RBG35507,SLX19435,plate1,plate1,F6,F6,setA,i706_i508,N706-S508,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i510,RBG35508,SLX19435,plate1,plate1,G6,G6,setA,i706_i510,N706-S510,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i706_i511,RBG35509,SLX19435,plate1,plate1,H6,H6,setA,i706_i511,N706-S511,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i502,RBG35510,SLX19435,plate1,plate1,A7,A7,setA,i707_i502,N707-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i503,RBG35511,SLX19435,plate1,plate1,B7,B7,setA,i707_i503,N707-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i505,RBG35512,SLX19435,plate1,plate1,C7,C7,setA,i707_i505,N707-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i506,RBG35513,SLX19435,plate1,plate1,D7,D7,setA,i707_i506,N707-S506,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i507,RBG35514,SLX19435,plate1,plate1,E7,E7,setA,i707_i507,N707-S507,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i508,RBG35515,SLX19435,plate1,plate1,F7,F7,setA,i707_i508,N707-S508,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i510,RBG35516,SLX19435,plate1,plate1,G7,G7,setA,i707_i510,N707-S510,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i707_i511,RBG35517,SLX19435,plate1,plate1,H7,H7,setA,i707_i511,N707-S511,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i502,RBG35518,SLX19435,plate1,plate1,A8,A8,setA,i710_i502,N710-S502,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i503,RBG35519,SLX19435,plate1,plate1,B8,B8,setA,i710_i503,N710-S503,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i505,RBG35520,SLX19435,plate1,plate1,C8,C8,setA,i710_i505,N710-S505,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i506,RBG35521,SLX19435,plate1,plate1,D8,D8,setA,i710_i506,N710-S506,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i507,RBG35522,SLX19435,plate1,plate1,E8,E8,setA,i710_i507,N710-S507,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i508,RBG35523,SLX19435,plate1,plate1,F8,F8,setA,i710_i508,N710-S508,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i510,RBG35524,SLX19435,plate1,plate1,G8,G8,setA,i710_i510,N710-S510,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i710_i511,RBG35525,SLX19435,plate1,plate1,H8,H8,setA,i710_i511,N710-S511,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i502,RBG35526,SLX19435,plate1,plate1,A9,A9,setA,i711_i502,N711-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i503,RBG35527,SLX19435,plate1,plate1,B9,B9,setA,i711_i503,N711-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i505,RBG35528,SLX19435,plate1,plate1,C9,C9,setA,i711_i505,N711-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i506,RBG35529,SLX19435,plate1,plate1,D9,D9,setA,i711_i506,N711-S506,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i507,RBG35530,SLX19435,plate1,plate1,E9,E9,setA,i711_i507,N711-S507,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i508,RBG35531,SLX19435,plate1,plate1,F9,F9,setA,i711_i508,N711-S508,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i510,RBG35532,SLX19435,plate1,plate1,G9,G9,setA,i711_i510,N711-S510,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i711_i511,RBG35533,SLX19435,plate1,plate1,H9,H9,setA,i711_i511,N711-S511,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i712_i502,RBG35534,SLX19435,plate1,plate1,A10,A10,setA,i712_i502,N712-S502,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i712_i503,RBG35535,SLX19435,plate1,plate1,B10,B10,setA,i712_i503,N712-S503,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i712_i505,RBG35536,SLX19435,plate1,plate1,C10,C10,setA,i712_i505,N712-S505,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
