phase,gene
G2_M,Tfap2A
G2_M,Timp1
G2_M,Tmem99
G2_M,Tmpo
G2_M,Tnpo2
G2_M,Top2A
G2_M,Traip
G2_M,Trim59
G2_M,Trmt2A
G2_M,Ttf2
G2_M,Tuba1A
G2_M,Tubb
G2_M,Tubb2A
G2_M,Tubb4B
G2_M,Tubd1
G2_M,Uaca
G2_M,Ube2C
G2_M,Vps25
G2_M,Vta1
G2_M,Wsb1
G2_M,Znf587
G2_M,Znhit2
M,Ahi1
M,Akirin2
M,Ankrd40
M,Anln
M,Anp32B
M,Anp32E
M,Arhgap19
M,Arl6Ip1
M,Asxl1
M,Atf7Ip
M,Aurka
M,Birc2
M,Birc5
M,Bub1
M,Cadm1
M,Ccdc88A
M,Ccdc90B
M,Ccna2
M,Ccnb2
M,Cdc20
M,Cdc25B
M,Cdc27
M,Cdc42Ep1
M,Cdca3
M,Cenpa
M,Cenpe
M,Cenpf
M,Cep55
M,Cflar
M,Cit
M,Ckap2
M,Ckap5
M,Cks1B
M,Cks2
M,Cnot10
M,Cntrob
M,Ctcf
M,Ctnna1
M,Ctnnd1
M,Depdc1
M,Depdc1B
M,Diaph3
M,Dlgap5
M,Dnaja1
M,Dnajb1
M,Dr1
M,Dzip3
M,E2F5
M,Ect2
M,Fam64A
M,Foxm1
M,Fyn
M,G2E3
M,Gadd45A
M,Gas2L3
M,Got1
M,Grk6
M,Gtse1
M,Hcfc1
M,Hmg20B
M,Hmgb3
M,Hmmr
M,Hn1
M,Hp1Bp3
M,Hps4
M,Hs2St1
M,Hspa8
M,Hspa13
M,Inadl
M,Kif2C
M,Kif5B
M,Kif14
M,Kif20B
M,Klf9
M,Lbr
M,Lmna
M,Mcm4
M,Mdc1
M,Mis18Bp1
M,Mki67
M,Mllt4
M,Mzt1
M,Ncapd2
M,Ncoa5
M,Nek2
M,Nuf2
M,Nup35
M,Nup98
M,Nusap1
M,Odf2
M,Oraov1
M,Pbk
M,Pcf11
M,Plk1
M,Poc1A
M,Pom121
M,Ppp1R10
M,Prpsap1
M,Prr11
M,Psmg3
M,Ptp4A1
M,Ptpn9
M,Pwp1
M,Qrich1
M,Rad51C
M,Rangap1
M,Rbm8A
M,Rcan1
M,Rere
M,Rnf126
M,Rnf141
M,Rnps1
M,Rrp1
M,Sephs1
M,Setd8
M,Sfpq
M,Sgol2
M,Shcbp1
M,Smarcb1
M,Smarcd1
M,Spag5
M,Sptbn1
M,Srf
M,Srsf3
M,Ss18
M,Suv420H1
M,Tacc3
M,Thrap3
M,Tle3
M,Tmem138
M,Tnpo1
M,Tomm34
M,Tpx2
M,Trip13
M,Tsg101
M,Tsn
M,Ttk
M,Tubb4B
M,Txndc9
M,Txnrd1
M,Ube2D3
M,Usp13
M,Usp16
M,Vangl1
M,Wibg
M,Wsb1
M,Ywhah
M,Zc3Hc1
M,Zfx
M,Zmym1
M,Znf207
M_G1,Agfg1
M_G1,Agpat3
M_G1,Akap13
M_G1,Amd1
M_G1,Anp32E
M_G1,Antxr1
M_G1,Bag3
M_G1,Btbd3
M_G1,Cbx3
M_G1,Cdc42
M_G1,Cdk7
M_G1,Cdkn3
M_G1,Cep70
M_G1,Cnih4
M_G1,Ctr9
M_G1,Cwc15
M_G1,Dcp1A
M_G1,Dctn6
M_G1,Dexi
M_G1,Dkc1
M_G1,Dnajb6
M_G1,Dsp
M_G1,Dynll1
M_G1,Eif4E
M_G1,Elp3
M_G1,Fam60A
M_G1,Fam189B
M_G1,Fopnl
M_G1,Foxk2
M_G1,Fxr1
M_G1,G3Bp1
M_G1,Gata2
M_G1,Gnb1
M_G1,Grpel1
M_G1,Gspt1
M_G1,Gtf3C4
M_G1,Hif1A
M_G1,Hmg20B
M_G1,Hmgcr
M_G1,Hsd17B11
M_G1,Hspa8
M_G1,Ilf2
M_G1,Jmjd1C
M_G1,Kdm5B
M_G1,Kiaa0586
M_G1,Kif5B
M_G1,Kpnb1
M_G1,Kras
M_G1,Larp1
M_G1,Larp7
M_G1,Lrif1
M_G1,Lyar
M_G1,Morf4L2
M_G1,Mrpl19
M_G1,Mrps2
M_G1,Mrps18B
M_G1,Msl1
M_G1,Mtpn
M_G1,Ncoa3
M_G1,Nfia
M_G1,Nfic
M_G1,Nucks1
M_G1,Nufip2
M_G1,Nup37
M_G1,Odf2
M_G1,Opn3
M_G1,Pak1Ip1
M_G1,Pbk
M_G1,Pcf11
M_G1,Plin3
M_G1,Ppp2Ca
M_G1,Ppp2R2A
M_G1,Ppp6R3
M_G1,Prc1
M_G1,Psen1
M_G1,Ptms
M_G1,Pttg1
M_G1,Rad21
M_G1,Ran
M_G1,Rheb
M_G1,Rpl13A
M_G1,Slc39A10
M_G1,Snupn
M_G1,Srsf3
M_G1,Stag1
M_G1,Syncrip
M_G1,Taf9
M_G1,Tcerg1
M_G1,Tle3
M_G1,Tmem138
M_G1,Tob2
M_G1,Top1
M_G1,Troap
M_G1,Tsc22D1
M_G1,Tulp4
M_G1,Ube2D3
M_G1,Vangl1
M_G1,Vcl
M_G1,Wipf2
M_G1,Wwc1
M_G1,Yy1
M_G1,Zbtb7A
M_G1,Zcchc10
M_G1,Znf24
M_G1,Znf281
M_G1,Znf593
