"flow_biosample_id","batch","data_type","BM_fraction","mouse_id","sex","start_age","Tompos_sorted_cells","days_postTx","report_available","use_report","flow_sortdate","report_total_events","biosample_id","count","central__count","central_singlets__count","central_singlets_live__count","central_singlets_live_linneg__count","central_singlets_live_linneg_Lgate__count","central_singlets_live_linneg_Lgate_Tomneg__count","central_singlets_live_linneg_Lgate_Tompos__count","total_events","mancount_initial","mancount_final","central_singlets_live__estim_total","central_singlets_live_linneg__estim_total","central_singlets_live_linneg_Lgate__estim_total","central_singlets_live_linneg__freq_of_parent","central_singlets_live_linneg_Lgate_Tompos__estim_total","central_singlets_live_linneg_Lgate_Tompos__freq_of_parent"
"2w4w_lindep_146818.66h","2w4w","SS2","lindep","146818.66h","F","young",384,12,FALSE,FALSE,"05 12 2021",NA,"2w4w_SS2_146818.66h",3154563,2433360,2406271,2179252,1238938,404418,403288,484,3154563,NA,3625000,2179252,1238938,404418,0.568515252022254,484,0.0011967815478045
"2w4w_lindep_146819.61b","2w4w","10x","lindep","146819.61b","M","young",793,27,TRUE,TRUE,"05 12 2021",5763011,"2w4w_SITTC4_146819.61b",590000,393524,384050,365221,154718,44100,44026,65,5763011,NA,5381250,3567411.2549678,1511256.84050508,430760.652711864,0.423628433195243,634.907991525424,0.00147392290249433
"2w4w_lindep_146819.61c","2w4w","10x","lindep","146819.61c","M","young",4243,27,TRUE,TRUE,"05 12 2021",6088856,"2w4w_SITTD4_146819.61c",601000,381626,374533,356607,137315,42182,41816,349,6088856,NA,4593750,3612859.68650915,1391166.82469218,427354.615294509,0.385059743639356,3535.79158735441,0.00827367123417572
"2w4w_lindep_146819.61f","2w4w","10x","lindep","146819.61f","F","young",3274,27,TRUE,TRUE,"05 12 2021",4868871,"2w4w_SITTC4_146819.61f",577000,383491,374582,357454,136832,30712,30420,275,4868871,NA,4725000,3016286.68012825,1154622.80185789,259155.573920277,0.382796108030684,2320.51910745234,0.0089541547277937
"2w4w_lindep_146819.61h","2w4w","10x","lindep","146819.61h","F","young",1450,27,TRUE,TRUE,"05 12 2021",2824782,"2w4w_SITTD4_146819.61h",571000,378281,371005,352975,144959,36084,35892,181,2824782,NA,2756250,1746195.14264448,717123.597089317,178510.391747811,0.410677810043204,895.421264448336,0.00501607360603037
"3d7d_lindep_146811.44g","3d7d","SS2","lindep","146811.44g","F","young",125,7,FALSE,TRUE,"10 02 2021",NA,"3d7d_SS2_146811.44g",1695000,1426000,1329000,1229952,547602,143315,142979,158,1695000,NA,NA,1229952,547602,143315,0.44522225257571,158,0.00110246659456442
"3d7d_lindep_146813.47a","3d7d","SS2","lindep","146813.47a","M","young",143,7,FALSE,TRUE,"10 02 2021",NA,"3d7d_SS2_146813.47a",3684648,3086757,2915373,2732810,1376273,336367,335739,185,3684648,NA,NA,2732810,1376273,336367,0.503610935264435,185,0.000549994500054999
"3d7d_lindep_146813.47c","3d7d","10x","lindep","146813.47c","M","young",735,7,TRUE,TRUE,"10 02 2021",6072488,"3d7d_SITTB7_146813.47c",625000,507000,475000,430000,157147,40938,40816,73,6072488,NA,NA,4177871.744,1526837.2347776,397752.8219904,0.365458139534884,709.2665984,0.00178318432751966
"3d7d_lindep_146814.46d","3d7d","SS2","lindep","146814.46d","M","young",84,3,FALSE,TRUE,"10 02 2021",NA,"3d7d_SS2_146814.46d",6463025,5454918,5139467,4750156,2035166,367882,367330,115,6463025,NA,NA,4750156,2035166,367882,0.428441929065067,115,0.000312600235945222
"3d7d_lindep_146814.46e","3d7d","10x","lindep","146814.46e","F","young",1384,3,TRUE,TRUE,"10 02 2021",5445832,"3d7d_SITTB7_146814.46e",615000,508000,478000,448000,187767,32324,32066,152,5445832,NA,NA,3967045.09918699,1662678.92218537,286229.387915447,0.419122767857143,1345.9617300813,0.00470238831827744
"3d7d_lindep_146814.46f","3d7d","SS2","lindep","146814.46f","F","young",156,3,FALSE,TRUE,"10 02 2021",NA,"3d7d_SS2_146814.46f",3273982,2814152,2644774,2458013,1366849,242218,241801,174,3273982,NA,NA,2458013,1366849,242218,0.556078832780787,174,0.000718361145744742
"3dr2_aliq005_1468.21.100e","3dr2","notsorted","aliq005","1468.21.100e","F","young",NA,3,FALSE,FALSE,"21 09 2021",NA,NA,1752000,1147177,1097396,1029147,44576,13258,13205,5,1752000,2706000,1560000,1029147,44576,13258,0.0433135402425504,5,0.000377130788957611
"3dr2_aliq005_1468.23.97b","3dr2","notsorted","aliq005","1468.23.97b","M","young",NA,3,FALSE,FALSE,"21 09 2021",NA,NA,2570000,1640000,1563000,1461000,67116,22601,22518,12,2570000,2050000,2943750,1461000,67116,22601,0.0459383983572895,12,0.000530949957966462
"3dr2_lindep_1468.21.100e","3dr2","SS2","lindep","1468.21.100e","F","young",90,3,FALSE,FALSE,"21 09 2021",NA,"3dr2_SS2_1468.21.100e",3307968,2091147,1979747,1870994,819332,282834,282261,102,3307968,NA,7425000,1870994,819332,282834,0.437912681708226,102,0.000360635567152464
"3dr2_lindep_1468.23.97b","3dr2","SS2","lindep","1468.23.97b","M","young",168,3,FALSE,FALSE,"21 09 2021",NA,"3dr2_SS2_1468.23.97b",6396197,4121001,3902435,3658535,1801880,562458,561314,197,6396197,NA,8137500,3658535,1801880,562458,0.492514080089435,197,0.000350248374100822
"5mo_lindep_146812.56e","5mo","10x","lindep","146812.56e","M","young",4575,161,TRUE,TRUE,"02 09 2020",13269581,"5mo_SIGAD9_146812.56e",12600000,10200000,9710000,8930000,3560000,1100000,1090000,4987,13269581,NA,NA,9404552.2484127,3749183.2031746,1158455.48412698,0.398656215005599,5252.01590849206,0.00453363636363636
"5mo_lindep_146818.58g","5mo","10x","lindep","146818.58g","F","young",3941,161,TRUE,TRUE,"02 09 2020",5662714,"5mo_SIGAD9_146818.58g",5660000,4470000,4210000,3660000,1720000,593000,589000,3994,5662714,NA,NA,3661754.98939929,1720824.74911661,593284.34664311,0.469945355191257,3995.91514416961,0.00673524451939292
"5mo_lindep_146818.58h","5mo","10x","lindep","146818.58h","F","young",9683,161,TRUE,TRUE,"02 09 2020",8361705,"5mo_SIGAE9_146818.58h",8370000,6840000,6490000,5800000,2900000,1090000,1080000,9854,8361705,NA,NA,5794251.97132616,2897125.98566308,1088919.76702509,0.5,9844.23429749104,0.00904036697247706
"5mo_lindep_14686.57a","5mo","10x","lindep","14686.57a","M","young",667,161,TRUE,TRUE,"02 09 2020",7042473,"5mo_SIGAE9_14686.57a",7040000,5720000,5480000,4910000,2040000,604000,602000,675,7042473,NA,NA,4911724.77698864,2040716.60795455,604212.172159091,0.415478615071283,675.237112926136,0.00111754966887417
"7d_lindep_14681.30e","7d","SS2","lindep","14681.30e","M","young",271,7,FALSE,TRUE,"20 10 2020",NA,"7d_SS2_14681.30e",6936861,5743343,5530756,4920144,1878017,659525,658162,441,6936861,NA,NA,4920144,1878017,659525,0.381699600662094,441,0.000668663052954778
"7d_lindep_14681.32c","7d","SS2","lindep","14681.32c","F","young",112,7,FALSE,TRUE,"20 10 2020",NA,"7d_SS2_14681.32c",4747168,4121826,3961323,3604106,1274347,418119,417527,173,4747168,NA,NA,3604106,1274347,418119,0.353581997865768,173,0.000413757805792131
"7dr2_7dold_lindep_146812.56a","7dr2_7dold","10x","lindep","146812.56a","M","aged",6500,7,TRUE,TRUE,"11 12 2020",11538375,"7dr2_7dold_SITTA4_146812.56a",1e+07,7970000,7630000,7040000,2550000,611000,603000,6910,11538375,NA,NA,8123016,2942285.625,704994.7125,0.362215909090909,7973.017125,0.0113093289689034
"7dr2_7dold_lindep_146817.54f","7dr2_7dold","10x","lindep","146817.54f","F","aged",892,7,TRUE,TRUE,"11 12 2020",5719112,"7dr2_7dold_SITTA4_146817.54f",5240000,4030000,3860000,3580000,953000,254001,253242,547,5719112,NA,NA,3907332.24427481,1040136.20916031,277225.222731298,0.266201117318436,597.014172519084,0.00215353482860304
"7dr2_7dold_lindep_14684.38h","7dr2_7dold","10x","lindep","14684.38h","F","young",650,7,TRUE,TRUE,"11 12 2020",5883048,"7dr2_7dold_SITTB4_14684.38h",5860000,4960000,4720000,4220000,1930000,414000,413000,663,5883048,NA,NA,4236597.70648464,1937590.89419795,415628.305802048,0.457345971563981,665.607649146758,0.00160144927536232
"7dr2_7dold_lindep_14686.51f","7dr2_7dold","10x","lindep","14686.51f","M","aged",5201,7,TRUE,TRUE,"11 12 2020",12455865,"7dr2_7dold_SITTB4_14686.51f",1e+07,7770000,7360000,6750000,4490000,519000,512000,5581,12455865,NA,NA,8407708.875,5592683.385,646459.3935,0.665185185185185,6951.6182565,0.0107533718689788
"7w11w_aliq005_146812.57b","7w11w","notsorted","aliq005","146812.57b","M","young",NA,76,FALSE,FALSE,"08 06 2021",NA,NA,1480000,1070000,1040000,1e+06,165736,32584,32462,52,1480000,4972000,1260000,1e+06,165736,32584,0.165736,52,0.00159587527620918
"7w11w_aliq005_146812.57e","7w11w","notsorted","aliq005","146812.57e","F","young",NA,76,FALSE,FALSE,"08 06 2021",NA,NA,1660000,1200000,1180000,1130000,184826,36291,35910,294,1660000,2522667,1610000,1130000,184826,36291,0.163562831858407,294,0.00810118211126726
"7w11w_aliq005_146812.57f","7w11w","notsorted","aliq005","146812.57f","F","young",NA,76,FALSE,FALSE,"08 06 2021",NA,NA,2110000,1500000,1470000,1420000,223604,39604,38975,523,2110000,4928000,2643750,1420000,223604,39604,0.157467605633803,523,0.0132057367942632
"7w11w_aliq005_146815.60a","7w11w","notsorted","aliq005","146815.60a","M","young",NA,76,FALSE,FALSE,"08 06 2021",NA,NA,2150000,1490000,1460000,1410000,226049,51678,51184,328,2150000,5192000,1986500,1410000,226049,51678,0.160318439716312,328,0.00634699485274198
"7w11w_aliq005_146817.63a","7w11w","notsorted","aliq005","146817.63a","M","young",NA,49,FALSE,FALSE,"08 06 2021",NA,NA,1550000,1220000,1180000,996000,140910,20828,20551,34,1550000,3388000,1359750,996000,140910,20828,0.141475903614458,34,0.00163241789898214
"7w11w_aliq005_146817.63b","7w11w","notsorted","aliq005","146817.63b","M","young",NA,49,FALSE,FALSE,"08 06 2021",NA,NA,1200000,947000,921000,786000,63396,12834,12627,54,1200000,3212000,1147000,786000,63396,12834,0.0806564885496183,54,0.00420757363253857
"7w11w_aliq005_146817.63f","7w11w","notsorted","aliq005","146817.63f","F","young",NA,49,FALSE,FALSE,"08 06 2021",NA,NA,727000,613000,594000,535000,54770,12280,12100,87,727000,2464000,1295000,535000,54770,12280,0.102373831775701,87,0.00708469055374593
"7w11w_aliq005_146817.63g","7w11w","notsorted","aliq005","146817.63g","F","young",NA,49,FALSE,FALSE,"08 06 2021",NA,NA,2730000,2330000,2260000,2060000,214807,50187,49722,198,2730000,3168000,2131500,2060000,214807,50187,0.104275242718447,198,0.00394524478450595
